ID,Texto do aluno,Devolutiva,FM01,FM02,FM03,FM04,FM05,FM06,FM07,FM08,MTL,Observações
R01,Crônica que eu escrevi: O Camilo morreu no final. Mas antes disso ele recebeu um bilhete do Vilela. A cartomante já tinha dito que tava tudo certo. Então ele conheceu a Rita primeiro de tudo. Aí ele foi na casa do amigo.,"Você conseguiu escrever uma crônica interessante, com personagens e situações bem definidas.

1. Como você imagina o que aconteceu entre Camilo e Rita antes de ele receber o bilhete do Vilela?

2. O que você acha que poderia ter acontecido se Camilo não tivesse recebido o bilhete?",,,,,,,,,,
R02,Minha opinião sobre O Alienista: A Casa Verde foi importante. Foi muito grande. O povo de Itaguaí tinha medo. Bacamarte estudava muito. A ciência dele era estranha. As pessoas se revoltaram um dia.,"Você demonstrou uma boa compreensão do livro e mencionou vários pontos importantes! Isso é ótimo!

1. Como você acha que o medo dos habitantes de Itaguaí afetou a história do livro?

2. O Bacamarte estudava muito. Como isso pode ser relevante para a trama do livro?",,,,,,,,,,
R03,"Resenha de A Cartomante: Camilo vivia angustiado com os bilhetes anônimos. Por isso, procurou a cartomante, que leu as cartas e o tranquilizou. Saiu de lá aliviado e seguiu para a casa do amigo. Quando chegou, porém, encontrou Vilela à sua espera. A previsão, afinal, não o havia salvado.","O texto é claro e segue uma boa estrutura de enredo. Há um bom uso da coesão com a repetição lexical (angustiado) e conectivos contraditórios (vivia angustiado... porém, encontrou Vilela à sua espera).

1. Como você pode usar essas técnicas de coesão na escrita do seu próprio texto?

2. O que aconteceria se a previsão da cartomante tivesse sido diferente? Como isso poderia alterar o enredo?",,,,,,,,,,
R04,Resumo de O Alienista: A Casa Verde era o lugar onde os loucos ficavam. A Casa Verde foi feita pelo Bacamarte. A Casa Verde assustava o povo. A Casa Verde ficava cheia. No final a Casa Verde foi esvaziada porque a Casa Verde não fazia mais sentido.,"O texto tem uma boa estrutura com repetição lexical e conectivos contraditórios, como 'Casa Verde' que aparece várias vezes.

1. Por que a Casa Verde assustava o povo? Pode ser porque era chamada assim?

2. O texto menciona que a Casa Verde foi esvaziada no final. Por quê?",,,,,,,,,,
R05,Sobre A Moça Tecelã: A moça teceu o marido com o tear. Ela queria companhia. Quando ele chegou ele pediu mais coisas pra ela. Ela teceu pra ele um palácio. Aí ela desfez ele e ela ficou livre. Ela gostava dela mesma de novo.,"A moça é muito criativa com o tear, mas também tem uma personalidade forte que a faz rejeitar seu marido finalmente.

1. Como você imagina a moça se sentindo depois de desfechar seu marido?

2. Qual poderia ser o próximo passo da moça no palácio que ela teceu?",,,,,,,,,,
R06,Minha opinião sobre O Alienista: A Casa Verde foi importante. Foi muito grande. O povo de Itaguaí tinha medo. Bacamarte estudava muito. A ciência dele era estranha. As pessoas se revoltaram um dia.,"Você destacou bem as características principais da Casa Verde e do personagem Bacamarte, usando vocabulário variado como 'imensa' para a Casa Verde e 'estranha' para sua ciência.

1. Como você imagina o que poderia ter acontecido se as pessoas não tivessem se revoltado contra Bacamarte?

2. Você acha que a importância da Casa Verde foi maior do que a de Itaguaí? Por quê?",,,,,,,,,,
R07,Reconto de O Homem Nu: O homem ficou pelado. Ele abriu a porta. O bonde passou. A mulher dele saiu. Ele tava devendo o aluguel. O cobrador bateu. Ele se escondeu no elevador. Ficou todo mundo rindo dele na rua. Ele entrou de novo em casa.,"O texto tem boa fluidez e ação, com vários eventos acontecendo rapidamente.

1. Como você imagina o homem se sentindo depois de ser devorado pelo cobrador?

2. Se fosse seu personagem, como você poderia ter respondido à situação?",,,,,,,,,,
R08,Reconto de O Homem Nu: O homem ficou pelado. Ele abriu a porta. O bonde passou. A mulher dele saiu. Ele tava devendo o aluguel. O cobrador bateu. Ele se escondeu no elevador. Ficou todo mundo rindo dele na rua. Ele entrou de novo em casa.,"O texto tem boa fluidez e ação, com várias repetições verbais que ajudam a manter o ritmo do relato.

1. Você notou como o narrador usa 'tava' em vez de 'estava'? Por que isso pode ser interessante?

2. O texto tem muitos sujeitos 'ele'. Como isso contribui para a coesão do relato?",,,,,,,,,,
R09,"Resenha de A Cartomante: Camilo vivia angustiado com os bilhetes anônimos. Por isso, procurou a cartomante, que leu as cartas e o tranquilizou. Saiu de lá aliviado e seguiu para a casa do amigo. Quando chegou, porém, encontrou Vilela à sua espera. A previsão, afinal, não o havia salvado.","O texto tem uma boa estrutura com início, desenvolvimento e conclusão. Camilo passa por um processo de angústia, busca conselhos e enfrenta a frustração.

1. Como você imagina o que poderia ter acontecido se Camilo não tivesse procurado a cartomante?

2. O que pode ter feito Vilela esperar por Camilo? Como você interpretaria essa situação?",,,,,,,,,,
R10,"Resenha de Cemitério dos Vivos: O personagem foi internado, portanto ele se sentia muito sozinho lá dentro. O lugar era horrível, mas por isso ele queria ficar. Embora ele sofresse, contudo ele continuava escrevendo, assim ele desistiu de tudo no fim.","O texto mostra um personagem complexo que luta contra a solidão e a dor, demonstrando uma boa evolução do personagem ao longo da história.

1. Como o autor pode explorar mais os sentimentos do personagem para torná-lo ainda mais real?

2. O que você acha que poderia ter acontecido no final se o personagem não tivesse desistido?",,,,,,,,,,
